Track name, Artist name, Album, Playlist name, Type, ISRC
¡Viva La Gloria!,Green Day,21st Century Breakdown,Something,Playlist track,USRE10900667
¿Viva La Gloria? (Little Girl),Green Day,21st Century Breakdown,Something,Playlist track,USRE10900675
21st Century Breakdown,Green Day,21st Century Breakdown,Something,Playlist track,USRE10900666
Acid Rain,Avenged Sevenfold,Hail to the King,Something,Playlist track,USWB11302498
All I Want for Christmas Is You - 2005,My Chemical Romance,Gift Wrapped: 20 Songs That Keep On Giving,Something,Playlist track,USRE10901921
Allergies,Creeper,The Callous Heart,Something,Playlist track,GBAHT1500415
Amanda,Green Day,¡TRÉ!,Something,Playlist track,USRE11200538
American Eulogy: Mass Hysteria / Modern World,Green Day,21st Century Breakdown,Something,Playlist track,USRE10900680
American Idiot,Green Day,American Idiot (Deluxe),Something,Playlist track,USRE10400888
Amy,Green Day,¡DOS!,Something,Playlist track,USRE11200488
Animal I Have Become,Three Days Grace,One-X,Something,Playlist track,USJI10600117
Anonymous,Three Days Grace,Transit Of Venus,Something,Playlist track,USRC11200913
Are We the Waiting / St. Jimmy,Green Day,American Idiot (Deluxe),Something,Playlist track,USRE10401219
Ashley,Green Day,¡DOS!,Something,Playlist track,USRE11200483
Baby Eyes,Green Day,¡DOS!,Something,Playlist track,USRE11200484
Bang Bang,Green Day,Revolution Radio,Something,Playlist track,USRE11600427
Bat Country,Avenged Sevenfold,City of Evil,Something,Playlist track,USWB10501912
Black Mass,Creeper,The Stranger,Something,Playlist track,GBAHT1500656
Bouncing off the Wall,Green Day,Revolution Radio,Something,Playlist track,USRE11600431
Boy Division,My Chemical Romance,Number One,Something,Playlist track,USRE11200305
Bulletproof Heart,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Something,Playlist track,USRE11000825
Buried Alive,Avenged Sevenfold,Nightmare,Something,Playlist track,USWB11001434
Cemetery Drive,My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400667
Chalk Outline,Three Days Grace,Transit Of Venus,Something,Playlist track,USRC11200825
Dead!,My Chemical Romance,The Black Parade,Something,Playlist track,USRE10602904
Desert Song,My Chemical Romance,Life on the Murder Scene,Something,Playlist track,USRE10600486
DESTROYA,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Something,Playlist track,USRE11000916
East Jesus Nowhere,Green Day,21st Century Breakdown,Something,Playlist track,USRE10900671
Extraordinary Girl / Letterbomb,Green Day,American Idiot (Deluxe),Something,Playlist track,USRE10401221
Forever Now,Green Day,Revolution Radio,Something,Playlist track,USRE11600436
Get Out Alive,Three Days Grace,One-X,Something,Playlist track,USJI10600163
The Ghost of You,My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400661
"Give 'Em Hell, Kid",My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400657
Gloom,Creeper,Creeper,Something,Playlist track,TCABY1409945
Goin' Down,Three Days Grace,Life Starts Now,Something,Playlist track,USJI10900550
Gone Forever,Three Days Grace,One-X,Something,Playlist track,USJI10600158
The Good Life,Three Days Grace,Life Starts Now,Something,Playlist track,USJI10900544
Hail to the King,Avenged Sevenfold,The Best of 2005-2013,Something,Playlist track,USWB11602077
Happiness,Three Days Grace,Transit Of Venus,Something,Playlist track,USRC11200916
Heaven Help Us,My Chemical Romance,The Black Parade: The B-Sides,Something,Playlist track,USRE10602876
Hiding With Boys,Creeper,Hiding With Boys,Something,Playlist track,GBAHT1600433
Homecoming,Green Day,American Idiot (Deluxe),Something,Playlist track,USRE10400993
House of Wolves,My Chemical Romance,The Black Parade,Something,Playlist track,USRE10602908
I Don't Wanna Stop,Ozzy Osbourne,Black Rain - Tour Edition,Something,Playlist track,USSM10701376
I'm Not Okay (I Promise),My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400660
In Between,Beartooth,Disgusting (Deluxe Edition),Something,Playlist track,USP6L1400182
Interlude,My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400663
It's All Over,Three Days Grace,One-X,Something,Playlist track,USJI10600161
"It's Not a Fashion Statement, It's a Deathwish",My Chemical Romance,Three Cheers for Sweet Revenge,Something,Playlist track,USRE10400666
Jesus of Suburbia,Green Day,American Idiot (Deluxe),Something,Playlist track,USRE10400983
Kill All Your Friends,My Chemical Romance,The Black Parade: The B-Sides,Something,Playlist track,USRE10603280
