Track name, Artist name, Album, Playlist name, Type, ISRC,,Date
Vampire Money,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000919,,
The Kids from Yesterday,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000917,,
Summertime,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000915,,
S/C/A/R/E/C/R/O/W,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000914,,
"Save Yourself, I'll Hold Them Back",My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000913,,
Jet-Star and the Kobra Kid / Traffic Report,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000911,,
Planetary (GO!),My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000910,,
SING,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000889,,
Bulletproof Heart,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000825,,
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000909,,
"Look Alive, Sunshine",My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000908,,
"Goodnite, Dr. Death",My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000918,,
DESTROYA,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000916,,
Party Poison,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000912,,
The Only Hope for Me Is You,My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,Favorite Songs,Favorite,USRE11000905,,
Blood - Hidden Track,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602915,,
Famous Last Words,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602914,,
Disenchanted,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602913,,
Teenagers,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602912,,
Sleep,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602911,,
Mama,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602910,,
Cancer,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602909,,
I Don't Love You,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602907,,
Welcome to the Black Parade,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602613,,
The Sharpest Lives,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602906,,
This Is How I Disappear,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602905,,
Dead!,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602904,,
The End.,My Chemical Romance,The Black Parade,Favorite Songs,Favorite,USRE10602903,,
I Never Told You What I Do for a Living,My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400668,,
Cemetery Drive,My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400667,,
"It's Not a Fashion Statement, It's a Deathwish",My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400666,,
Hang 'Em High,My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400665,,
Thank You for the Venom,My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400664,,
Interlude,My Chemical Romance,Three Cheers for Sweet Revenge,Favorite Songs,Favorite,USRE10400663,,
